Date,Layoffs
14-Apr,166
14-May,130
14-Jun,426
14-Jul,152
14-Aug,250
14-Sep,104
14-Oct,88
14-Nov,349
14-Dec,251
15-Jan,97
15-Feb,243
15-Mar,396
15-Apr,166
15-May,230
15-Jun,126
15-Jul,452
15-Aug,250
15-Sep,104
15-Oct,88
15-Nov,109
15-Dec,251
16-Jan,297
16-Feb,446
16-Mar,396
16-Apr,91
16-May,79
16-Jun,103
16-Jul,166
16-Aug,230
16-Sep,426
16-Oct,152
16-Nov,250
16-Dec,104
17-Jan,88
17-Feb,73
17-Mar,121
17-Apr,156
17-May,98
17-Jun,57
17-Jul,166
17-Aug,230
17-Sep,426
17-Oct,452
17-Nov,250
17-Dec,104
18-Jan,88
18-Feb,549
18-Mar,251
18-Apr,297
18-May,446
18-Jun,396
18-Jul,36
18-Aug,166
18-Sep,230
18-Oct,426
18-Nov,238
18-Dec,141
19-Jan,102
19-Feb,166
19-Mar,230
19-Apr,426
19-May,452
19-Jun,250
19-Jul,104
19-Aug,88
19-Sep,549
19-Oct,251
19-Nov,297
19-Dec,446
20-Jan,396
20-Feb,233
20-Mar,130
20-Apr,411
20-May,1273
20-Jun,404
20-Jul,130
20-Aug,70
20-Sep,32
20-Oct,50
20-Nov,43
20-Dec,120
21-Jan,720
21-Feb,80
21-Mar,25
21-Apr,31
21-May,90
21-Jun,21
21-Jul,16
21-Aug,34
21-Sep,31
21-Oct,14
21-Nov,21
21-Dec,87
22-Jan,23
22-Feb,36
22-Mar,166
22-Apr,230
22-May,426
22-Jun,452
22-Jul,250
22-Aug,104
22-Sep,88
22-Oct,549
22-Nov,251
22-Dec,297
23-Jan,446
23-Feb,396
23-Mar,389
23-Apr,449
23-May,504
23-Jun,453
23-Jul,446
23-Aug,396
23-Sep,389
23-Oct,449
23-Nov,504
23-Dec,453
24-Jan,446
24-Feb,396
24-Mar,389
24-Apr,450
24-May,504
24-Jun,453
24-Jul,446
24-Aug,397
24-Sep,389
24-Oct,450
24-Nov,505
24-Dec,453
25-Jan,446
25-Feb,397
25-Mar,389
25-Apr,450
25-May,505
25-Jun,454
25-Jul,446
25-Aug,397
25-Sep,390
25-Oct,450
25-Nov,505
25-Dec,454
26-Jan,447
26-Feb,397
26-Mar,390
26-Apr,450
26-May,505
26-Jun,454
26-Jul,447
26-Aug,398
26-Sep,390
26-Oct,451
26-Nov,506
26-Dec,454
27-Jan,447
27-Feb,398
