Date,Layoffs
14-Apr,75
14-May,104
14-Jun,132
14-Jul,97
14-Aug,102
14-Sep,81
14-Oct,67
14-Nov,57
14-Dec,140
15-Jan,91
15-Feb,97
15-Mar,143
15-Apr,227
15-May,104
15-Jun,58
15-Jul,94
15-Aug,138
15-Sep,59
15-Oct,117
15-Nov,72
15-Dec,164
16-Jan,124
16-Feb,109
16-Mar,127
16-Apr,186
16-May,55
16-Jun,135
16-Jul,104
16-Aug,136
16-Sep,89
16-Oct,60
16-Nov,182
16-Dec,127
17-Jan,156
17-Feb,108
17-Mar,94
17-Apr,274
17-May,94
17-Jun,164
17-Jul,102
17-Aug,78
17-Sep,67
17-Oct,54
17-Nov,127
17-Dec,78
18-Jan,115
18-Feb,154
18-Mar,192
18-Apr,95
18-May,44
18-Jun,82
18-Jul,161
18-Aug,61
18-Sep,117
18-Oct,71
18-Nov,159
18-Dec,124
19-Jan,106
19-Feb,84
19-Mar,132
19-Apr,77
19-May,176
19-Jun,134
19-Jul,156
19-Aug,85
19-Sep,101
19-Oct,124
19-Nov,185
19-Dec,245
20-Jan,205
20-Feb,164
20-Mar,65
20-Apr,206
20-May,637
20-Jun,202
20-Jul,65
20-Aug,35
20-Sep,20
20-Oct,25
20-Nov,87
20-Dec,477
21-Jan,360
21-Feb,208
21-Mar,165
21-Apr,110
21-May,85
21-Jun,130
21-Jul,389
21-Aug,125
21-Sep,186
21-Oct,284
21-Nov,109
21-Dec,83
22-Jan,107
22-Feb,345
22-Mar,495
22-Apr,115
22-May,213
22-Jun,226
22-Jul,125
22-Aug,52
22-Sep,44
22-Oct,275
22-Nov,126
22-Dec,149
23-Jan,223
23-Feb,198
23-Mar,130
23-Apr,288
23-May,292
23-Jun,173
23-Jul,199
23-Aug,183
23-Sep,148
23-Oct,137
23-Nov,295
23-Dec,299
24-Jan,181
24-Feb,207
24-Mar,191
24-Apr,156
24-May,145
24-Jun,303
24-Jul,307
24-Aug,189
24-Sep,214
24-Oct,199
24-Nov,163
24-Dec,153
25-Jan,311
25-Feb,315
25-Mar,196
25-Apr,222
25-May,207
25-Jun,171
25-Jul,160
25-Aug,318
25-Sep,322
25-Oct,204
25-Nov,230
25-Dec,214
26-Jan,179
26-Feb,168
26-Mar,326
26-Apr,330
26-May,212
26-Jun,238
26-Jul,222
26-Aug,187
26-Sep,176
26-Oct,334
26-Nov,338
26-Dec,219
27-Jan,245
27-Feb,230
