Date,Layoffs
14-Apr,35
14-May,94
14-Jun,102
14-Jul,87
14-Aug,112
14-Sep,71
14-Oct,67
14-Nov,57
14-Dec,132
15-Jan,91
15-Feb,97
15-Mar,143
15-Apr,187
15-May,104
15-Jun,62
15-Jul,97
15-Aug,138
15-Sep,59
15-Oct,77
15-Nov,62
15-Dec,124
16-Jan,94
16-Feb,109
16-Mar,137
16-Apr,186
16-May,66
16-Jun,127
16-Jul,101
16-Aug,136
16-Sep,86
16-Oct,60
16-Nov,116
16-Dec,97
17-Jan,146
17-Feb,108
17-Mar,94
17-Apr,134
17-May,84
17-Jun,186
17-Jul,102
17-Aug,78
17-Sep,67
17-Oct,83
17-Nov,127
17-Dec,78
18-Jan,98
18-Feb,154
18-Mar,192
18-Apr,95
18-May,44
18-Jun,82
18-Jul,141
18-Aug,61
18-Sep,117
18-Oct,71
18-Nov,124
18-Dec,109
19-Jan,96
19-Feb,84
19-Mar,112
19-Apr,77
19-May,166
19-Jun,124
19-Jul,157
19-Aug,85
19-Sep,101
19-Oct,94
19-Nov,135
19-Dec,197
20-Jan,134
20-Feb,92
20-Mar,130
20-Apr,311
20-May,1107
20-Jun,504
20-Jul,180
20-Aug,70
20-Sep,65
20-Oct,50
20-Nov,57
20-Dec,120
21-Jan,420
21-Feb,80
21-Mar,124
21-Apr,110
21-May,142
21-Jun,96
21-Jul,74
21-Aug,82
21-Sep,64
21-Oct,78
21-Nov,104
21-Dec,96
22-Jan,79
22-Feb,36
22-Mar,146
22-Apr,190
22-May,348
22-Jun,278
22-Jul,204
22-Aug,94
22-Sep,88
22-Oct,256
22-Nov,183
22-Dec,246
23-Jan,304
23-Feb,264
23-Mar,268
23-Apr,302
23-May,450
23-Jun,322
23-Jul,247
23-Aug,196
23-Sep,198
23-Oct,243
23-Nov,240
23-Dec,274
24-Jan,321
24-Feb,246
24-Mar,287
24-Apr,321
24-May,469
24-Jun,341
24-Jul,266
24-Aug,215
24-Sep,217
24-Oct,263
24-Nov,259
24-Dec,293
25-Jan,340
25-Feb,265
25-Mar,306
25-Apr,341
25-May,488
25-Jun,360
25-Jul,285
25-Aug,234
25-Sep,236
25-Oct,282
25-Nov,278
25-Dec,312
26-Jan,359
26-Feb,284
26-Mar,325
26-Apr,360
26-May,507
26-Jun,380
26-Jul,304
26-Aug,254
26-Sep,255
26-Oct,301
26-Nov,297
26-Dec,332
27-Jan,379
27-Feb,303
